iteration,model_id,diagnosis,hypothesis,architecture,features,loss,grouped_validation,BA,Delta_BA_vs_B_STRONG,Macro_F1,NLL,Brier,switch_rate,rescue_count,harm_count,worst_subject_effect,positive_subject_fraction,result,OUTER_TEST_USED
1,M1_MASKED_POOL_SHRUNK_THR,grouped improvement with positive subject-bootstrap lower bound,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_MASKED_POOL_SHRUNK_THR,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8509615384615383,0.0045192307692307,0.8494798153192711,0.3529391127498543,0.1093313752461143,0.0127884615384615,90.0,43.0,-0.0149999999999999,0.5,KEEP,False
2,M1_CONTEXTUAL_POSITIVE_POOL,grouped improvement with positive subject-bootstrap lower bound,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_CONTEXTUAL_POSITIVE_POOL,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8503846153846155,0.0039423076923076,0.8489329107298129,0.35239319819235,0.1091431446807942,0.0145192307692307,96.0,55.0,-0.01,0.5384615384615384,KEEP,False
3,M1_MASKED_POOL_THR050,grouped improvement with positive subject-bootstrap lower bound,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_MASKED_POOL_THR050,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8499038461538462,0.0034615384615384,0.8482386034206484,0.3525012235595468,0.1091729579039233,0.0175,109.0,73.0,-0.02,0.5192307692307693,KEEP,False
4,M1_MASKED_POOL_CONFIG_AVG,grouped improvement with positive subject-bootstrap lower bound,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_MASKED_POOL_CONFIG_AVG,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8498076923076923,0.0033653846153846,0.8483278714371338,0.3533307867526638,0.1094782485842176,0.0091346153846153,65.0,30.0,-0.01,0.5192307692307693,KEEP,False
5,M1_MASKED_POSITIVE_POOL,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_MASKED_POSITIVE_POOL,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8491346153846154,0.0026923076923076,0.84755047272725,0.3554080754223719,0.110160939079725,0.0203846153846153,120.0,92.0,-0.025,0.5192307692307693,MODIFY,False
6,M1_DYNAMIC_KEEP_LINEAR,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_DYNAMIC_KEEP_LINEAR,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.848846153846154,0.0024038461538461,0.8472300871885341,0.3504930920012434,0.1088987762040372,0.0277884615384615,157.0,132.0,-0.0200000000000001,0.4615384615384615,MODIFY,False
7,M1_DYNAMIC_KEEP_HGB,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_DYNAMIC_KEEP_HGB,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.848173076923077,0.0017307692307692,0.8469982471768829,0.3550075148639678,0.1097918981132336,0.0317307692307692,174.0,156.0,-0.025,0.4615384615384615,MODIFY,False
8,M1_DEEPSETS_KEEP,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_DEEPSETS_KEEP,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8473076923076922,0.0008653846153846,0.8456474304264574,0.3557161583117158,0.1100495652147234,0.0216346153846153,117.0,108.0,-0.02,0.5192307692307693,MODIFY,False
9,M1_KEEP_RAW_LINEAR,gain is not robustly above the static ensemble,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M1_KEEP_RAW_LINEAR,six frozen KEEP tokens + availability + session,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8471153846153847,0.0006730769230769,0.8451413918418427,0.3578875933714707,0.1114145619270212,0.0316346153846153,168.0,161.0,-0.04,0.4038461538461538,MODIFY,False
10,M0_B_STRONG_B6,frozen constructive reference,test whether this information/architecture family converts frozen expert diversity into unseen-subject gain,M0_B_STRONG_B6,B6 only,binary log-loss; hyperparameters and threshold selected on inner calibration subjects,five outer subject folds with disjoint model-fit/calibration/heldout subjects,0.8464423076923075,0.0,0.8448742470033863,0.3653566490828355,0.1139011059629209,0.0,0.0,0.0,0.0,0.0,REFERENCE,False
